Province_State,Country_Region,Lat,Long,confirmed_general,confirmed_death
,Serbia,44.0165,21.0059,702451,6594
,Seychelles,-4.6796,55.492,8172,28
,Sierra Leone,8.460555000000001,-11.779889,4089,79
,Singapore,1.2833,103.8333,61403,31
,Slovakia,48.669,19.699,386136,12077
,Slovenia,46.1512,14.9955,246725,4302
,Solomon Islands,-9.6457,160.1562,20,0
,Somalia,5.152149,46.199616,14486,753
,South Africa,-30.5595,22.9375,1599272,54896
,South Sudan,6.877000000000001,31.307,10641,115
,Spain,40.463667,-3.7492199999999998,3586333,79100
,Sri Lanka,7.873054,80.77179699999999,131098,850
,Sudan,12.8628,30.2176,34889,2446
,Suriname,3.9193,-56.0278,11306,220
,Sweden,60.128161,18.643501,1021604,14217
,Switzerland,46.8182,8.2275,675671,10721
,Syria,34.802075,38.996815000000005,23490,1670
,Taiwan*,23.7,121.0,1210,12
,Tajikistan,38.861,71.2761,13308,90
,Tanzania,-6.369028,34.888822,509,21
,Thailand,15.870032,100.992541,86924,452
,Timor-Leste,-8.874217,125.727539,3493,5
,Togo,8.6195,0.8248,13167,125
,Trinidad and Tobago,10.6918,-61.2225,13802,224
,Tunisia,33.886917,9.537499,322998,11556
,Turkey,38.9637,35.2433,5059433,43589
,US,40.0,-100.0,32778906,582837
,Uganda,1.373333,32.290275,42427,346
,Ukraine,48.3794,31.1656,2180429,48544
,United Arab Emirates,23.424076,53.847818000000004,539138,1617
Anguilla,United Kingdom,18.2206,-63.0686,109,0
Bermuda,United Kingdom,32.3078,-64.7505,2455,31
British Virgin Islands,United Kingdom,18.4207,-64.64,219,1
Cayman Islands,United Kingdom,19.3133,-81.2546,548,2
Channel Islands,United Kingdom,49.3723,-2.3644,4057,86
Falkland Islands (Malvinas),United Kingdom,-51.7963,-59.5236,63,0
Gibraltar,United Kingdom,36.1408,-5.3536,4286,94
Isle of Man,United Kingdom,54.2361,-4.5481,1590,29
Montserrat,United Kingdom,16.742498,-62.187366000000004,20,1
"Saint Helena, Ascension and Tristan da Cunha",United Kingdom,-7.9467,-14.3559,4,0
Turks and Caicos Islands,United Kingdom,21.694000000000003,-71.7979,2404,17
,United Kingdom,55.3781,-3.4360000000000004,4439691,127629
,Uruguay,-32.5228,-55.7658,225847,3208
,Uzbekistan,41.377491,64.585262,95072,664
,Vanuatu,-15.3767,166.9592,4,1
,Venezuela,6.4238,-66.5897,210116,2320
,Vietnam,14.058323999999999,108.277199,3571,35
,West Bank and Gaza,31.9522,35.2332,302777,3393
,Yemen,15.552726999999999,48.516388,6492,1276
,Zambia,-13.133897,27.849332,92152,1258
,Zimbabwe,-19.015438,29.154857,38448,1579
