UID,iso2,iso3,code3,confirmed_us,confirmed_death_us
84080013,US,USA,840,29427,638
84013223,US,USA,840,16863,216
84013225,US,USA,840,2644,59
84013227,US,USA,840,3429,79
84013229,US,USA,840,2473,57
84013231,US,USA,840,2277,40
84013233,US,USA,840,5640,95
84013235,US,USA,840,927,44
84013237,US,USA,840,2187,56
84013239,US,USA,840,168,2
84013241,US,USA,840,1744,49
84013243,US,USA,840,627,34
84013245,US,USA,840,24683,509
84013247,US,USA,840,7653,171
84013249,US,USA,840,351,5
84013251,US,USA,840,988,31
84013253,US,USA,840,954,19
84013255,US,USA,840,6287,189
84013257,US,USA,840,3107,83
84013259,US,USA,840,891,25
84013261,US,USA,840,2562,101
84013263,US,USA,840,479,18
84013265,US,USA,840,123,3
84013267,US,USA,840,2312,66
84013269,US,USA,840,798,25
84013271,US,USA,840,1305,57
84013273,US,USA,840,809,48
84013275,US,USA,840,4448,123
84013277,US,USA,840,4900,126
84013279,US,USA,840,3405,113
84013281,US,USA,840,1228,56
84013283,US,USA,840,842,27
84013285,US,USA,840,7523,225
84013287,US,USA,840,1023,39
84013289,US,USA,840,722,44
84090013,US,USA,840,3161,12
84013291,US,USA,840,2226,74
84013293,US,USA,840,3466,126
84013295,US,USA,840,7488,86
84013297,US,USA,840,10601,259
84013299,US,USA,840,4871,178
84013301,US,USA,840,532,17
84013303,US,USA,840,2044,86
84013305,US,USA,840,3591,88
84013307,US,USA,840,145,4
84013309,US,USA,840,627,24
84013311,US,USA,840,3177,80
84013313,US,USA,840,16850,245
84013315,US,USA,840,824,47
84013317,US,USA,840,1081,28
84013319,US,USA,840,924,28
84013321,US,USA,840,1792,68
84099999,US,USA,840,103,3
316,GU,GUM,316,8044,139
84015001,US,USA,840,2798,53
84015003,US,USA,840,26165,377
84015005,US,USA,840,0,0
84015007,US,USA,840,306,2
84015009,US,USA,840,4454,53
84080015,US,USA,840,1147,3
84090015,US,USA,840,0,0
84016001,US,USA,840,52090,464
84016003,US,USA,840,340,4
84016005,US,USA,840,8771,107
84016007,US,USA,840,382,2
84016009,US,USA,840,685,9
84016011,US,USA,840,4824,74
84016013,US,USA,840,2378,18
84016015,US,USA,840,357,2
84016017,US,USA,840,3242,42
84016019,US,USA,840,14882,167
84016021,US,USA,840,868,10
84016023,US,USA,840,210,1
84016025,US,USA,840,71,0
84016027,US,USA,840,26730,295
84016029,US,USA,840,692,12
84016031,US,USA,840,2940,27
84016033,US,USA,840,59,0
84016035,US,USA,840,1050,13
84016037,US,USA,840,248,3
84016039,US,USA,840,2008,15
84016041,US,USA,840,1182,16
84016043,US,USA,840,1132,14
84016045,US,USA,840,1772,38
84016047,US,USA,840,1311,24
84016049,US,USA,840,1219,18
84016051,US,USA,840,3002,28
84016053,US,USA,840,2603,23
84016055,US,USA,840,18051,208
84016057,US,USA,840,3140,10
84016059,US,USA,840,527,9
84016061,US,USA,840,396,9
84016063,US,USA,840,506,11
84016065,US,USA,840,7191,28
84016067,US,USA,840,2339,32
84016069,US,USA,840,3625,54
84016071,US,USA,840,362,4
84080016,US,USA,840,0,0
84016073,US,USA,840,1066,29
84016075,US,USA,840,2558,37
84016077,US,USA,840,654,9
84016079,US,USA,840,1113,34
84016081,US,USA,840,1220,4
84016083,US,USA,840,9512,127
84090016,US,USA,840,0,0
84016085,US,USA,840,838,6
84016087,US,USA,840,1215,21
84017001,US,USA,840,8421,123
84017003,US,USA,840,467,11
84017005,US,USA,840,2042,24
84017007,US,USA,840,6680,72
84017009,US,USA,840,703,6
84017011,US,USA,840,3705,82
84017013,US,USA,840,518,2
84017015,US,USA,840,1749,36
84017017,US,USA,840,1983,25
84017019,US,USA,840,20563,145
84017021,US,USA,840,3650,73
84017023,US,USA,840,1791,33
84017025,US,USA,840,1481,43
